All,Semua
"The required options you selected are not available.","Pilihan yang Anda pilih tidak tersedia."
"Please select all required options.","Silahkan pilih semua pilihan yang dibutuhkan."
"We can't add this item to your shopping cart right now.","Kami tidak dapat menambahkan pilihan ini ke keranjang belanja Anda sekarang juga."
N/A,"N / A"
Percent,Persen
"We can't save custom-defined options for bundles with dynamic pricing.","Kami tidak dapat menyimpan opsi yang ditetapkan khusus untuk kumpulan dengan harga dinamis."
"Add Selected Products","Tambahkan Produk yang Dipilih"
"Add Option","Tambahkan Opsi"
"New Option","Opsi Baru"
"Option Title","Judul Opsi"
"Default Title","Judul Bawaan"
"Store View Title","Judul tampilan toko"
"Input Type","Tipe masukan"
"Radio Buttons","Tombol radio"
Checkbox,"Kotak centang"
"Multiple Select","Beberapa Pilih"
Required,Wajib
"Default Quantity","Jumlah Default"
"User Defined","Ditetapkan pengguna"
"Price Type","Tipe harga"
Quantity:,Kuantitas:
"Choose a selection...","Pilih pilihan..."
"Ship Bundle Items","Kirimkan Item Bundle"
"There are no products in this option.","Tidak ada produk dalam opsi ini."
Default,Bawaan
Ordered,Dipesan
Invoiced,"Faktur Ditagihkan"
Shipped,Dikirim
Refunded,Dikembalikan
Canceled,Dibatalkan
"Regular Price","Harga Reguler"
"As low as","Mulai dari"
"Buy %1 with %2 discount each","Beli %1 dengan diskon %2 masing-masing"
"Go back to product details","Kembali ke detail produk"
"Customize and Add to Cart","Sesuaikan dan Tambah ke Keranjang"
"Your Customization","Kustomisasi Anda"
Availability,Tersedianya
"In stock",Tersedia
"Out of stock","Habis terjual"
Availability:,Tersedianya:
"Customize %1","Sesuaikan %1"
"No options of this product are available.","Tidak ada pilihan produk ini yang tersedia."
"Gift Message","Pesan hadiah"
From:,Dari:
To:,Ke:
Message:,Pesan:
"Product Name","Nama Produk"
"Discount Amount","Jumlah diskon"
"Row Total","Jumlah Total Baris"
"Qty Invoiced","Qty Faktur Ditagih"
"Qty Shipped","Qty dikirim"
"Add Products to New Option","Tambahkan Produk ke Opsi Baru"
"Add Products to Option ""%1""","Tambahkan Produk ke Opsi ""%1"""
Always,Selalu
"After number of attempts to login","Setelah beberapa kali mencoba login"
"Provided form does not exist","Bentuk yang disediakan tidak ada"
"Incorrect CAPTCHA","Captcha yang salah"
"Incorrect CAPTCHA.","Captcha yang salah."
"The account is locked. Please wait and try again or contact %1.","Akun terkunci Silakan tunggu dan coba lagi atau hubungi %1."
"Please enter the letters and numbers from the image","Silakan masukkan huruf dan angka dari gambar"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong> Perhatian </strong>: Captcha peka terhadap huruf besar."
"Reload captcha","Muat ulang captcha"
"Please type the letters and numbers below","dan nomor"
"Attention: Captcha is case sensitive.","Perhatian: Captcha bersifat case sensitive."
"Enable CAPTCHA in Admin","Mengaktifkan CAPTCHA di Admin"
Font,Huruf
Forms,Bentuk
"Displaying Mode","Menampilkan Mode"
"Number of Unsuccessful Attempts to Login","Jumlah Upaya yang Tidak Berhasil Masuk"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jika 0 ditentukan, CAPTCHA pada form Login akan selalu tersedia."
"CAPTCHA Timeout (minutes)","Waktu tunggu CAPTCHA (menit)"
"Number of Symbols","Jumlah Simbol"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Silakan tentukan 8 simbol paling banyak. Rentang yang diizinkan (misalnya 3-5)"
"Symbols Used in CAPTCHA","Simbol yang Digunakan di CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Silakan gunakan hanya huruf (a-z atau A-Z) atau angka (0-9) di bidang ini. Tidak ada spasi atau karakter lain yang diperbolehkan<br />Karakter mirip yang terlihat (mis. ""I"", ""l"", ""1"") mengurangi kemungkinan pengakuan yang benar oleh pelanggan."
"Case Sensitive","Hal - hal sensitif"
"Enable CAPTCHA on Storefront","Aktifkan CAPTCHA di etalase"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA untuk formulir ""Buat pengguna"" dan ""Lupa kata sandi"" selalu diaktifkan jika dipilih."
Root,Sumber
"Are you sure you want to delete this category?","Yakin ingin menghapus kategori ini?"
"Use Config Settings","Gunakan Pengaturan Konfirmasi"
"Use All Available Attributes","Gunakan Semua Atribut yang Tersedia"
"Add Subcategory","Tambahkan Subkategori"
"Add Root Category","Tambahkan Kategori Root"
Day,Hari
from,dari
to,untuk
[WEBSITE],"[SITUS WEB]"
"[STORE VIEW]","[LIHAT TOKO]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Tambahkan Produk"
"Product Attributes","Atribut Produk"
"Add New Attribute","Tambahkan Atribut Baru"
"Save Attribute","Simpan Atribut"
"Save in New Attribute Set","Simpan di Set Atribut Baru"
"Enter Name for New Attribute Set","Masukkan Nama untuk Set Atribut Baru"
"Delete Attribute","Hapus Atribut"
"Edit Product Attribute ""%1""","Edit Atribut Produk ""%1"""
"New Product Attribute","Atribut Produk Baru"
"Advanced Attribute Properties","Properti Atribut Lanjutan"
"Attribute Code","Kode Atribut"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Ini digunakan secara internal. Pastikan Anda tidak menggunakan spasi atau lebih dari %1 simbol."
"Default Value","Nilai Standar"
"Unique Value","Nilai Unik"
"Unique Value (not shared with other products)","Nilai Unik (tidak dibagikan dengan produk lain)"
"Not shared with other products.","Tidak dibagikan dengan produk lain."
"Input Validation for Store Owner","Validasi Masukan untuk Pemilik Toko"
"Add to Column Options","Tambahkan ke Kolom Pilihan"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar pilihan kolom di produk grid."
"Use in Filter Options","Gunakan di Filter Options"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Pilih ""Ya"" untuk menambahkan atribut ini ke daftar opsi filter di kotak produk."
Website,"Situs web"
Scope,Cakupan
"Declare attribute value saving scope.","Deklarasikan atribut nilai penyimpanan jangkauan."
"Storefront Properties","Etalase properti"
"Use in Search","Gunakan di Pencarian"
"Visible in Advanced Search","Terlihat di Penelusuran Lanjutan"
"Comparable on Storefront","Sebanding di etalase"
"Use for Promo Rule Conditions","Gunakan untuk Kondisi Aturan Promo"
"Allow HTML Tags on Storefront","Izinkan Tag HTML di etalase"
"Visible on Catalog Pages on Storefront","Terlihat di Halaman Katalog di etalase"
"Used in Product Listing","Digunakan dalam Listing Produk"
"Depends on design theme.","Bergantung pada tema desain."
"Used for Sorting in Product Listing","Digunakan untuk Sortasi dalam Listing Produk"
"Media Image","Gambat media"
Gallery,Galeri
"System Properties","Sistem properti"
"Data Type for Saving in Database","Tipe Data untuk Menyimpan di Database"
Text,Teks
Static,Statis
Datetime,"Tanggal Waktu"
Decimal,Desimal
Integer,"Bilangan bulat"
"Globally Editable","Diedit secara global"
"Attribute Information","Informasi Atribut"
Properties,Properti
"Manage Labels","Kelola Label"
Visible,Terlihat
Searchable,"Bisa Dicari"
Comparable,Sebanding
"Delete Selected Group","Hapus Grup yang Dipilih"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Anda akan menghapus semua produk dalam set atribut ini. Apakah Anda yakin ingin melakukan itu?"
"New Set Name","Nama Set Baru"
"Edit Attribute Set '%1'","Edit atribut set '%1'"
Empty,Kosong
"Add Attribute","Tambah atribut"
"Add New Group","Tambah grup baru"
"Add Group","Tambah grup"
"For internal use","Untuk penggunaan internal"
"Based On",Berdasarkan
"Edit Attribute Set Name","Edit nama set atribut"
"Add New Attribute Set","Tambahkan Set Atribut Baru"
"Add Attribute Set","Tambahkan Atribut Set"
"Attribute Sets","Set Atribut"
"Close Window","Tutup jendela"
"New Product","Produk baru"
"Save & Edit","Simpan & Edit"
"Save & New","Simpan & Baru"
"Save & Duplicate","Simpan & Gandakan"
"Save & Close","Simpan & Tutup"
Change,Perubahan
"Advanced Inventory","Persedian Lanjutan"
Websites,"Situs web"
"Products Information","Informasi Produk"
"Create Category","Buat Kategori"
"Category Name","Nama Kategori"
"Parent Category","Kategori Induk"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Jika tidak ada kategori induk khusus, harap gunakan kategori induk default. Anda dapat menetapkan ulang kategori kapan saja di <a href=""%1"" target=""_blank""> Produk> Kategori </a>."
"Price Alert Subscriptions","Langganan Peringatan Harga"
"Stock Alert Subscriptions","Langganan Peringatan Harga"
"There are no customers for this alert.","Tidak ada pelanggan untuk lansiran ini."
"Subscribe Date","Tanggal Berlangganan"
"Last Notified","Pemberitahuan terakhir"
"Send Count","Kirim Hitungan"
"New Attribute","Atribut Baru"
"Attribute Set","Set Atribut"
"Add New Option","Tambahkan Opsi Baru"
"Import Options","Opsi Impor"
Import,Impor
"Add New Row","Tambahkan baris baru"
"Delete Row","Hapus Baris"
"Tier Pricing","Tingkat Harga"
"Default Price","Harga standar"
"ALL GROUPS","SEMUA KELOMPOK"
"Add Price","Tambahkan Harga"
"Default Values","Nilai default"
"Related Products","Produk Terkait"
Up-sells,"Peningkatan Penjualan"
Cross-sells,"Penjualan Silang"
"Size for %1","Ukuran untuk %1"
"Watermark File for %1","Bekas Watermark untuk %1"
"Position of Watermark for %1","Posisi Watermark untuk %1"
"Name in %1","Nama di %1"
"Change Status","Ubah Status"
"Update Attributes","Perbarui Atribut"
"start typing to search category","mulai mengetik ke kategori pencarian"
"New Category","Kategori baru"
"Add New Images","Tambahkan Gambar Baru"
"Inc. Tax","Pajak Inc"
"Does this have a weight?","Apakah ini memiliki berat?"
"Notify Low Stock RSS","Beritahu stok lemah RSS"
"Low Stock Products","Produk Stok Rendah"
"%1 has reached a quantity of %2.","%1 telah mencapai jumlah %2."
"Go to Home Page","Buka Halaman Depan"
"Subscribe to RSS Feed","Berlangganan RSS Feed"
"Products Comparison List","Daftar Perbandingan Produk"
AM,SAYA
PM,SORE
"New Products from %1","Produk Baru dari %1"
"New Products","Produk baru"
"%1 - Special Products","%1 - Produk Khusus"
"Click for price","Klik untuk harga"
"Special Expires On: %1","Khusus kadarluarsa hidup: %1"
"Price: %1","Harga: %1"
"Special Price: %1","Harga Spesial: %1"
"Special Products","Produk khusus"
"Manage Catalog Categories","Kelola Kategori Katalog"
"Manage Categories","Mengelola Kategori"
"You deleted the category.","Anda menghapus kategori."
"Something went wrong while trying to delete the category.","Ada sesuatu yang salah ketika mencoba untuk menghapus kategori."
Categories,Kategori
"Category is not available for requested store.","Kategori tidak tersedia untuk toko yang diminta."
"There was a category move error.","Ada kesalahan pergerakan kategori."
"You moved the category.","Anda pindah kategori."
"Something went wrong while saving the category.","Ada yang tidak beres saat menyimpan kategori."
"You saved the category.","Anda menyimpan kategori."
"Please select products for attributes update.","Silahkan pilih produk untuk memperbaharui atribut."
"Please make sure to define SKU values for all processed products.","Pastikan untuk menentukan nilai SKU untuk semua produk olahan."
"Something went wrong while updating the product(s) attributes.","Ada yang tidak beres saat memperbarui atribut produk(s)."
"Something went wrong while processing the request.","Ada yang tidak beres saat memproses permintaan."
"Unable to add attribute","Tidak dapat menambahkan atribut"
"Manage Product Attributes","Kelola Atribut Produk"
"We can't delete the attribute.","Kami tidak dapat menghapus atribut tersebut."
"You deleted the product attribute.","Anda menghapus atribut produk."
"We can't find an attribute to delete.","Kami tidak dapat menemukan atribut yang akan dihapus."
"This attribute no longer exists.","Atribut ini sudah tidak ada lagi."
"This attribute cannot be edited.","Atribut ini tidak dapat diedit."
"Edit Product Attribute","Edit Atribut Produk"
"An attribute set named '%1' already exists.","Kumpulan atribut bernama ' %1 ' sudah ada."
"Something went wrong while saving the attribute.","Ada yang tidak beres saat menyimpan atribut."
"We can't update the attribute.","Kami tidak dapat memperbarui atribut."
"You saved the product attribute.","Anda menyimpan atribut produk."
"An attribute with this code already exists.","Atribut dengan kode ini sudah ada."
"An attribute with the same code (%1) already exists.","Atribut dengan kode yang sama (%1) sudah ada."
"The value of Admin scope can't be empty.","Nilai lingkup Admin tidak boleh kosong."
"You duplicated the product.","Anda menduplikasi produk."
"This product doesn't exist.","Produk ini tidak ada."
"Invalid product id. Should be numeric value greater than 0","Produk Id tidak valid. harus bernilai numerik lebih besar dari 0"
"A group with the same name already exists.","Sebuah kelompok dengan nama yang sama sudah ada."
"Something went wrong while saving this group.","Ada yang salah saat menyimpan grup ini."
"A total of %1 record(s) have been deleted.","Total %1 Record telah dihapus."
"A total of %1 record(s) have been updated.","Total %1 catatan telah diperbaharui."
"Something went wrong while updating the product(s) status.","Ada yang tidak beres saat memperbarui status produk(s)."
"You saved the product.","Anda menyimpan produk."
"SKU for product %1 has been changed to %2.","SKU untuk produk %1 telah diubah menjadi %2."
"The image cannot be removed as it has been assigned to the other image role","Gambar tidak dapat dihapus karena telah ditetapkan ke peran gambar lainnya"
"New Attribute Set","Set Atribut Baru"
"The attribute set has been removed.","Set atribut telah dihapus."
"We can't delete this set right now.","Kami tidak dapat menghapus set ini sekarang juga."
"New Set","Set baru"
"Manage Product Sets","Kelola Produk Set"
"Manage Attribute Sets","Kelola Set Atribut"
"This attribute set no longer exists.","Set Atribut ini sudah tidak ada lagi."
"You saved the attribute set.","Anda menyimpan set atribut."
"Something went wrong while saving the attribute set.","Ada yang tidak beres saat menyimpan set atribut."
"You cleared the comparison list.","Anda membersihkan daftar perbandingan."
"Something went wrong  clearing the comparison list.","Ada yang salah membersihkan daftar perbandingan."
"You removed product %1 from the comparison list.","Anda menghapus produk %1 dari daftar perbandingan."
"1 item","1 barang"
"%1 items","%1 item"
"Are you sure you want to remove this item from your Compare Products list?","Apakah anda yakin untuk menghapus item ini dari daftar Perbandingan Produk anda?"
"Are you sure you want to remove all items from your Compare Products list?","Apakah anda yakin anda ingin menghapus semua item dari daftar Perbandingan Produk anda?"
"Invalid attribute %1","Atribut%1 tidak valid"
Grid,Kisi
List,Daftar
"Bad controller interface for showing product","Antarmuka pengendali yang buruk untuk menampilkan produk"
"Product is not loaded","Produk tidak dimuat"
"Make sure the To Date is later than or the same as the From Date.","Pastikan To Date lebih dari atau sama dengan From Date."
"Sorry, but we can't find the new parent category you selected.","Maaf, tapi kami tidak dapat menemukan kategori orang tua baru yang Anda pilih."
"Sorry, but we can't find the new category you selected.","Maaf, tapi kami tidak dapat menemukan kategori baru yang Anda pilih."
"We can't move the category because the parent category name matches the child category name.","Kami tidak dapat memindahkan kategori karena nama kategori orang tua cocok dengan nama kategori anak."
"Something went wrong while getting the image url.","Ada yang tidak beres saat mendapatkan url gambar."
"Can't delete root category.","Tidak bisa menghapus kategori root."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Daftar Produk bawaan Sortir tidak tersedia di Daftar Produk yang Tersedia Urutkan Berdasarkan."
"No layout updates","Tidak ada pembaruan tata letak"
"Products only","Produk saja"
"Static block only","Blok statis saja"
"Static block and products","Blok dan produk statis"
"Please select a static block.","Silakan pilih blok statis."
"Could not save product ""%1"" with position %2 to category %3","Tidak dapat menyimpan produk ""%1"" dengan posisi %2 ke kategori %3"
"Could not save product ""%product"" with position %position to category %category","Tidak dapat menyimpan produk ""%produk"" dengan %posisi posisi ke kategori %categori"
"Operation do not allow to move a parent category to any of children category","Operasi tidak memungkinkan untuk memindahkan kategori induk ke kategori anak-anak"
"Could not move category","Tidak bisa memindahkan kategori"
"Could not save category: %1","Tidak dapat menyimpan kategori: %1"
"Cannot delete category with id %1","Tidak dapat menghapus kategori dengan id %1"
"-- Please Select a Category --","- Silahkan Pilih sebuah Kategori -"
"Grid Only","Hanya kisi"
"List Only","Daftar saja"
"Grid (default) / List","Kisi (bawaan) / daftar"
"List (default) / Grid","Daftar (bawaan) / kisi"
"Automatic (equalize price ranges)","Otomatis (menyamakan rentang harga)"
"Automatic (equalize product counts)","Otomatis (menyamakan hitungan produk)"
"-- Please select --","-- Silahkan pilih --"
"Product Thumbnail Itself","Produk Miniatur Sendiri"
"Parent Product Thumbnail","Thumbnail Produk Orang Tua"
"12h AM/PM","12h AM / PM"
Stretch,Meregang
Tile,Ubin
Top/Left,"Atas / Kiri"
Top/Right,"Kanan atas"
Bottom/Left,"Kiri bawah"
Bottom/Right,"Kanan / bawah"
Center,Pusat
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 tidak meluas \ Magento \ Framework \ Model \ AbstractModel"
"Something went wrong while saving the file(s).","Ada yang tidak beres saat menyimpan berkas(s)."
"File can not be saved to the destination folder.","File tidak dapat disimpan ke folder tujuan."
"Unknown EAV indexer type ""%1"".","Tipe pengindeks EAV tidak dikenal ""%1 ""."
"We can't rebuild the index for an undefined product.","Kami tidak dapat membangun kembali indeks untuk produk yang tidak terdefinisi."
"Bad value was supplied.","Nilai buruk diberikan."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modul Katalog Kolom memiliki batas atribut %2$d yang dapat disaring dan / atau dapat diurutkan. Saat ini ada %1$d dari mereka. Silakan kurangi jumlah atribut yang dapat disaring / dapat diurutkan agar dapat menggunakan modul ini"
"Unsupported product type ""%1"".","Jenis produk yang tidak didukung ""%1""."
"Please correct the category.","Perbaiki kategori."
"Must be category model instance or its id.","Harus contoh kategori model atau idnya."
"The attribute model is not defined.","Model atribut tidak didefinisikan."
Category,Kategori
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 tidak memperpanjang \ Magento \ Catalog \ Model \ Layer \ Filter \ Dynamic \ AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 tidak meluas \ Magento \ Catalog \ Model \ Layer \ Filter \ AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filter itu harus berupa objek. Silakan atur filter yang benar."
"Clear Price","Harga yang jelas"
"%1 and above","%1 keatas"
"Group price must be a number greater than 0.","Harga kelompok harus lebih besar dari 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Konverter Media Gallery harus berupa instance dari EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Tidak ada MediaGalleryEntryConverter untuk tipe yang diberikan"
"Please enter a number 0 or greater in this field.","Silakan masukkan angka 0 atau lebih di bidang ini."
"SKU length should be %1 characters maximum.","Panjang SKU maksimal maksimal %1 karakter."
"Please enter a valid number in this field.","Masukkan nomor yang valid di bidang ini."
"We found a duplicate website, tier price, customer group and quantity.","Kami menemukan situs web duplikat, tingkat harga, kelompok pelanggan dan kuantitas."
"Percentage value must be a number between 0 and 100.","Nilai persentase harus berupa angka antara 0 dan 100."
"Invalid option id %1","Pilihan tidak sah id %1"
"Provided Attribute set non product Attribute set.","Disediakan atribut set non product set atribut."
"Use config","Menggunakan konfigurasi"
"Attribute Set already exists.","Set Atribut sudah ada."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Kami tidak dapat menyalin file %1. Silakan hapus media dengan gambar yang tidak ada dan coba lagi."
"The option type to get group instance is incorrect.","Jenis pilihan untuk mendapatkan contoh grup tidak benar."
"Select type options required values rows.","Pilih opsi tipe baris nilai yang dibutuhkan."
"Please specify date required option(s).","Mohon tentukan tanggal pilihan yang dibutuhkan(s)."
"Please specify time required option(s).","Silakan tentukan pilihan waktu yang dibutuhkan(s)."
"The option instance type in options group is incorrect.","Jenis contoh pilihan pada grup pilihan tidak benar."
"The product instance type in options group is incorrect.","Jenis contoh produk pada grup pilihan tidak benar."
"The configuration item option instance in options group is incorrect.","Contoh pilihan barang konfigurasi pada kelompok pilihan tidak benar."
"The configuration item instance in options group is incorrect.","Contoh barang konfigurasi pada kelompok pilihan tidak benar."
"The BuyRequest instance in options group is incorrect.","Contoh BuyRequest pada kelompok pilihan tidak benar."
"We can't add the product to the cart because of an option validation issue.","Kami tidak dapat menambahkan produk ke keranjang karena ada masalah validasi opsi."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 tidak meluas \ Magento \ Catalog \ Model \ Produk \ Option \ Type \ DefaultType"
"The file '%1' for '%2' has an invalid extension.","File '%1' untuk '%2' memiliki ekstensi yang tidak valid."
"The maximum allowed image size for '%1' is %2x%3 px.","Ukuran gambar maksimum yang diizinkan untuk '%1' adalah %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","File '%1' yang Anda upload lebih besar dari %2 megabyte yang diizinkan oleh server kami."
"The file '%1' is invalid. Please choose another one","File '%1' tidak valid Silahkan pilih yang lain"
"File '%1' is not an image.","File ' %1 ' bukan gambar."
"Some of the selected item options are not currently available.","Beberapa pilihan item yang dipilih saat ini tidak tersedia."
"Invalid attribute %fieldName = %fieldValue.","Atribut ""%fieldname = %fieldValue"" tidak valid."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Toko yang diminta tidak ditemukan. ID Baris: SKU = %S KU, ID Toko: %s toreId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Atribut tidak valid Cost = %c ost. ID Baris: SKU = %S KU, ID Toko: %s toreId."
"Could not save Prices.","Tidak dapat menyimpan harga."
"Could not delete Prices","Tidak dapat menghapus Harga"
"Could not save Tier Prices","Tidak dapat menghemat Harga Tier"
"Could not replace Tier Prices","Tidak dapat mengganti Harga Meningkat"
"Could not delete Tier Prices","Tidak dapat menghapus Harga meningkat"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak sah SKU = %SKU. Baris ID: SKU = %SKU, Web ID: %websiteId, Kelompok Pelanggan: %customerGroup, Jumlah: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak valid Harga = %p beras. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut Jenis Harga tidak valid = %p riceType. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut tidak valid Quantity = %q ty. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Atribut situs web tidak valid =% websiteId. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Kami menemukan situs duplikat, harga meningkat, kelompok pelanggan dan jumlah barang: Customer Group = %c ustomerGroup, Website ID =% websiteId, Quantity = %q ty. ID Baris: SKU = %S KU, ID Situs:% websiteId, Grup Pelanggan: %c ustomerGroup, Jumlah: %q ty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Tidak ada entitas tersebut dengan Kelompok Pelanggan = %customerGroup. Baris ID: SKU = %SKU, Web ID: %websiteId, Kelompok Pelanggan: %customerGroup, Jumlah: %qty."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produk tidak mengelompokkan harga dengan data seperti itu: customerGroupId = ' %1', website = %2, qty = %3"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 tidak meluas \ Magento \ Catalog \ Model \ Product \ Type \ AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 tidak meluas \ Magento \ Catalog \ Model \ Product \ Type \ Price"
"Not Visible Individually","Tidak Terlihat Secara Individual"
"Catalog, Search","Katalog, Cari"
"Something went wrong while removing products from the websites.","Ada yang tidak beres saat mengeluarkan produk dari situs web."
"Something went wrong while adding products to websites.","Ada yang tidak beres saat menambahkan produk ke situs web."
"Product with SKU '%1' is not linked to product with SKU '%2'","Produk dengan SKU '%1' tidak terkait dengan produk dengan SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produk %1 tidak memiliki hubungan %2 sebagai %3"
"Invalid product data: %1","Data produk tidak valid: %1"
"Database connection error","Kesalahan koneksi database"
"Database deadlock found when trying to get lock","Kebuntuan database ditemukan saat mencoba mengunci"
"Database lock wait timeout exceeded","Batas waktu tunggu kunci basis data terlampaui"
"There are not websites for assign to product","Tidak ada situs web yang ditetapkan untuk produk"
"Could not assign product ""%1"" to websites ""%2""","Tidak dapat menetapkan produk ""%1"" ke situs web ""%2"""
"Could not save product ""%1"" with websites %2","Tidak dapat menyimpan produk ""%1"" dengan situs web %2"
"We cannot determine the field name.","Kami tidak bisa menentukan nama bidangnya."
"Attribute '%1' is locked. %2","Atribut ' %1 ' terkunci. %2"
"Do not change the scope. %1","Jangan mengubah ruang lingkup. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 tidak mengimplementasikan BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Jenis produk tidak ditentukan untuk pengindeks."
"Product with SKU %1 is not linked to product with SKU %2","Produk dengan SKU %1 tidak terkait dengan produk dengan SKU %2"
Dropdown,Drop-down
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 tidak memperpanjang \ Magento \ Framework \ Filter \ Template"
"Could not get extension attributes","Tidak bisa mendapatkan atribut ekstensi"
message,pesan
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atribut tidak sah Harga = %price. Baris ID: SKU = %SKU, Toko ID: %storeId, Harga Dari: %priceFrom, Harga Untuk: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Toko yang diminta tidak ditemukan. Baris ID: SKU = %SKU, Toko ID: %storeId, Harga Dari: %priceFrom, Harga Untuk: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Atribut tidak sah %label = %priceTo. Baris ID: SKU = %SKU, Toko ID: %storeId, Harga Dari: %priceFrom, Harga Untuk: %priceTo."
"Lock wait timeout","Kunci waktu tunggu"
"Advanced Pricing","Harga lanjutan"
"Customer Group Price","Harga Grup Pelanggan"
"Customer Group","Grup Pelanggan"
"Special Price From","Harga Spesial Dari"
"Product Alerts","Peringatan produk"
"Add Selected","Tambah yang terpilih"
"Select Attribute","Pilih Atribut"
"Create New Attribute","Buat Atribut Baru"
"Customizable Options","Pilihan yang Dapat Dikustomisasi"
"Custom options let customers choose the product variations they want.","Pilihan khusus membiarkan pelanggan memilih variasi produk yang mereka inginkan."
"Select Product","Pilih Produk"
"Add Value","Tambahkan nilai"
"Option Type","Jenis Opsi"
"Max Characters","Karakter Maksimal"
"Compatible File Extensions","Ekstensi File yang Kompatibel"
"Maximum Image Size","Ukuran Gambar Maksimal"
"Please leave blank if it is not an image.","Silakan biarkan kosong jika bukan gambar."
"This item has weight","Item ini memiliki berat"
"This item has no weight","Item ini tidak memiliki berat"
"Set Product as New From","Atur Produk sebagai New From"
"Related Products, Up-Sells, and Cross-Sells","Produk Terkait, Up-Sells, dan Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Produk terkait ditunjukkan kepada pelanggan selain item yang dilihat pelanggan."
